ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"197.234.13.6","elite","AS36902","SC","Intelvision","186","Intelvision Ltd","4145","socks4","43","1","2023-05-01T04:07:26.645Z","100","1441","1448"
"208.83.234.132","elite","AS20473","US","The Constant Company","190","Vultr Holdings, LLC","11558","socks5","42","1","2023-05-01T04:07:26.713Z","57","890","1548"
"175.101.15.41","elite","AS17754","IN","ExcellMedia Pvt Ltd","141","Excell Media Pvt Ltd","4153","socks4","50","1","2023-05-01T04:07:25.259Z","99","1485","1499"
"177.104.16.118","elite","AS262624","BR","Inetsafe Comercio De Equipamentos Eletronicos Ltda","205","Inetsafe Comercio De Equipamentos Eletronicos Ltda","14880","socks4","41","1","2023-05-01T04:07:25.525Z","99","1447","1459"
"67.207.75.252","elite","AS14061","DE","DigitalOcean, LLC","26","DigitalOcean, LLC","58927","socks5","56","1","2023-05-01T04:07:25.587Z","100","1558","1558"
"50.250.56.129","elite","AS7922","US","Comcast Cable Communications, LLC","103","Comcast Cable Communications, LLC","48380","socks4","152","1","2023-05-01T04:07:25.275Z","100","1558","1559"
"62.171.153.119","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","22273","socks4","40","1","2023-05-01T04:07:25.811Z","100","1440","1442"
"109.121.50.69","elite","AS9125","RS","Orion Telekom ISP IP Network","41","Orion Telekom Tim d.o.o.Beograd","1080","socks4","39","1","2023-05-01T04:07:25.226Z","98","1533","1559"
"5.9.154.177","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner","30000","socks5","41","1","2023-05-01T04:07:24.215Z","100","1458","1459"
"112.221.46.117","elite","AS3786","KR","LG DACOM Corporation","280","LG Uplus","4153","socks4","50","1","2023-05-01T04:07:24.273Z","97","1513","1554"
"155.254.9.2","elite","AS19754","US","The Fusion Network","144","Telesystem Services","36510","socks4","41","1","2023-05-01T04:07:24.948Z","91","1419","1558"
"175.111.119.42","elite","AS46026","ID","Batam Bintan Telekomunikasi","186","BBT","58033","socks4","57","1","2023-05-01T04:07:24.301Z","98","1476","1502"
"209.97.170.248","elite","AS14061","SG","DigitalOcean, LLC","149","DigitalOcean, LLC","8080","socks5","62","1","2023-05-01T04:07:24.708Z","90","1292","1439"
"109.238.219.225","elite","AS48574","CZ","Planet A, a.s.","23","PLANET","4153","socks4","68","1","2023-05-01T04:07:24.015Z","99","1541","1552"
"38.127.179.87","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","45","1","2023-05-01T04:07:24.710Z","100","1497","1498"
"154.113.161.1","elite","AS37282","NG","Mainone Cable Company","132","Mainone Cable Company","5678","socks4","42","1","2023-05-01T04:07:24.561Z","100","1542","1547"
"203.23.49.150","elite","AS17882","MN","MCS Com Co Ltd","208","Univision LLC","5678","socks4","66","1","2023-05-01T04:07:23.064Z","100","1457","1459"
"211.174.100.111","elite","AS4766","KR","Netropy","228","NETROPY CO., Ltd","4153","socks4","40","1","2023-05-01T04:07:23.083Z","100","1436","1437"
"105.213.174.49","elite","AS16637","ZA","MTN SA","190","MTN SA","5678","socks4","61","1","2023-05-01T04:07:22.281Z","100","1434","1439"
"124.220.168.140","anonymous","AS45090","CN","China Internet Network Information Center","202","Tencent cloud computing (Beijing) Co., Ltd.","3128","http","48","464","2023-05-01T04:07:22.541Z","98","1406","1442"
"182.75.220.186","elite","AS9498","IN","Bharti Airtel","201","Bharti Airtel Ltd","40637","socks4","38","1","2023-05-01T04:07:22.453Z","88","1325","1504"
"102.66.237.5","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","210","Herotel","5678","socks4","43","1","2023-05-01T04:07:22.942Z","53","764","1435"
"103.229.83.106","elite","AS10075","BD","Fiber@Home Global Limited","175","Fiber @ Home Limited","6789","socks4","60","1","2023-05-01T04:07:22.170Z","98","1530","1557"
"196.251.10.211","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","193","HERO TELECOMS (PTY) LTD","5678","socks4","43","1","2023-05-01T04:07:22.188Z","37","572","1546"
"72.221.171.135","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications","4145","socks5","72","1","2023-05-01T04:07:21.955Z","86","1255","1464"
"185.186.17.57","elite","AS57723","PL","Media Telekom Sp. z o.o.","69","Media Telekom Sp. z o.o","5678","socks4","54","1","2023-05-01T04:07:21.159Z","97","1509","1549"
"101.51.104.102","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","64","2","2023-05-01T04:07:21.871Z","65","965","1496"
"103.25.44.113","elite","AS58898","IN","Rainbow communications India Pvt Ltd","164","Rainbow communications India Pvt Ltd","4153","socks4","172","1","2023-05-01T04:07:21.604Z","100","1559","1559"
"154.66.108.32","elite","AS37642","LS","Comnet Pty Ltd","210","ISPClients","3629","socks4","43","1","2023-05-01T04:07:21.558Z","99","1537","1560"
"66.94.108.138","anonymous","AS40021","US","Contabo Inc.","73","Contabo Inc","3128","http","66","157","2023-05-01T04:07:21.449Z","100","1460","1462"
"185.158.114.14","elite","AS44812","RU","IpServer","47","IT Expert LLC","38007","socks4","44","1","2023-05-01T04:07:21.150Z","100","1520","1521"
"24.75.156.114","elite","AS26801","US","Zito Media, L.P.","104","Zito Media","3366","socks4","60","1","2023-05-01T04:07:21.713Z","98","1482","1507"
"212.200.89.10","elite","AS8400","RS","TELEKOM SRBIJA a.d.","40","Vojvodina Sume","4153","socks4","54","1","2023-05-01T04:07:21.504Z","100","1542","1548"
"31.42.57.129","elite","AS205318","UA","Limited Liability Company AVATOR ISP","50","\"Merlin-Telekom\" LLC","3699","socks4","87","1","2023-05-01T04:07:21.728Z","100","1553","1554"
"43.153.172.98","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","253","Tencent Cloud Computing","443","socks5","58","1","2023-05-01T04:07:21.834Z","74","1118","1511"
"78.46.225.37","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","19051","socks5","52","1","2023-05-01T04:07:21.673Z","100","1556","1556"
"23.225.129.132","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","178","CloudRadium L.L.C","39877","socks4","47","1","2023-05-01T04:07:21.058Z","97","1465","1515"
"203.192.199.238","elite","AS17665","IN","Entire In2Cable","156","Indusind Media And Communication Ltd.","5678","socks4","48","1","2023-05-01T04:07:21.072Z","98","1532","1559"
"113.53.247.221","elite","AS131293","TH","TOT Public Company Limited","162","TOT Public Company Limited","4153","socks4","89","1","2023-05-01T04:07:21.108Z","82","1277","1557"
"165.225.110.77","elite","AS53813","JP","ZSCALER, INC.","241","Zscaler, Inc.","10605","socks4","51","1","2023-05-01T04:07:21.430Z","94","1353","1437"
"103.85.60.129","elite","AS131111","ID","MORATELINDONAP","203","N/A","3629","socks4","47","1","2023-05-01T04:07:20.474Z","97","1402","1439"
"103.66.176.45","elite","AS135578","BD","Dhaka Information Tecnology-DIT","154","N/A","32251","socks4","43","1","2023-05-01T04:07:20.762Z","99","1521","1537"
"162.243.140.82","elite","AS14061","US","DigitalOcean, LLC","167","Digital Ocean","17463","socks4","78","1","2023-05-01T04:07:20.043Z","98","1519","1543"
"188.235.130.50","anonymous","AS50543","RU","JSC \"ER-Telecom Holding\"","66","JSC \"ER-Telecom Holding\" Saratov Branch","8080","http","39","119","2023-05-01T04:07:20.913Z","98","1418","1442"
"177.93.77.10","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","283","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","37","1","2023-05-01T04:07:20.480Z","98","1532","1559"
"177.37.165.62","elite","AS28126","BR","Brisanet Servicos De Telecomunicacoes Ltda","186","Brisanet Servicos De Telecomunicacoes Ltda","4153","socks4","58","1","2023-05-01T04:07:20.161Z","99","1528","1538"
"177.86.201.108","elite","AS52576","BR","Zap Online Ltda","213","Zap Online Ltda","4145","socks4","61","1","2023-05-01T04:07:19.594Z","95","1371","1442"
"185.6.8.108","elite","AS12552","SE","GlobalConnect AB","32","Snapback AB","19427","socks4","87","1","2023-05-01T04:07:19.933Z","100","1469","1471"
"185.255.46.121","anonymous","AS205254","IQ","Valin Company for General Trading and Communication LTD","73","Valin Company General Trading and Communication LTD","8080","http","66","3094","2023-05-01T04:07:19.286Z","99","1523","1541"
"115.127.75.26","elite","AS24342","BD","BRACNet Limited","153","bracNet","7777","socks4","40","1","2023-05-01T04:07:19.065Z","97","1519","1559"
"114.88.100.108","elite","AS4812","CN","China Telecom (Group)","207","Chinanet SH","57114","socks4","76","1","2023-05-01T04:07:19.516Z","84","1242","1475"
"45.71.196.79","anonymous","AS265828","AR","Infomaster S.R.L.","226","Infomaster S.R.L","999","http","46","465","2023-05-01T04:07:19.931Z","97","1403","1440"
"37.187.108.156","elite","AS16276","FR","OVH SAS","5","OVH SAS","9050","socks4","42","1","2023-05-01T04:07:19.383Z","100","1554","1554"
"47.242.146.5","elite","AS45102","HK","Alibaba.com LLC","280","Hong Kong","22722","socks4","103","1","2023-05-01T04:07:19.719Z","73","1142","1559"
"159.65.243.101","elite","AS14061","US","DigitalOcean, LLC","88","Digital Ocean","54321","socks4","39","1","2023-05-01T04:07:18.878Z","100","1442","1448"
"45.112.1.49","elite","AS134000","IN","Gbps Networks Private Limited","205","Gbps Networks Pvt. Ltd.","4145","socks4","44","1","2023-05-01T04:07:18.863Z","100","1553","1554"
"124.122.11.115","elite","AS17552","TH","True Internet Co., Ltd.","184","TRUE BB","5678","socks4","48","1","2023-05-01T04:07:18.496Z","83","1295","1557"
"49.0.88.27","anonymous","AS133481","TH","AIS-Fibre","218","N/A","8080","http","57","394","2023-05-01T04:07:18.489Z","100","1439","1444"
"8.39.228.161","elite","AS3356","US","Level 3 Communications, Inc.","127","Level 3, LLC","39593","socks4","70","1","2023-05-01T04:07:18.613Z","88","1372","1559"
"103.214.112.79","elite","AS136052","ID","PT Cloud Hosting Indonesia","209","PT Denbe Anugerah Solusindo","32323","socks5","93","1","2023-05-01T04:07:18.024Z","99","1424","1441"
"202.159.35.57","elite","AS9340","ID","PT IndoInternet","181","N/A","443","socks4","61","1","2023-05-01T04:07:17.655Z","100","1545","1548"
"210.61.216.66","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","217","Chunghwa Telecom Co. Ltd.","33990","socks4","111","1","2023-05-01T04:07:17.049Z","100","1557","1557"
"185.170.233.104","elite","AS206912","CY","Superdach LTD","65","Infra","47574","socks4","42","1","2023-05-01T04:07:17.678Z","100","1559","1559"
"119.235.50.38","elite","AS45582","IN","VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA","139","Vainavi Industries Ltd","4153","socks4","37","1","2023-05-01T04:07:17.359Z","100","1436","1441"
"103.52.252.18","elite","AS45775","IN","WORLDVIEWKOLKATA","230","N/A","5678","socks4","40","1","2023-05-01T04:07:17.098Z","100","1557","1558"
"45.7.177.222","elite","AS266626","BR","Litoral Telecom","175","Litoral Telecom","39867","socks4","114","1","2023-05-01T04:07:17.046Z","99","1535","1549"
"190.109.72.241","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","200","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","97","1","2023-05-01T04:07:17.047Z","99","1533","1553"
"171.97.107.83","elite","AS17552","TH","True Internet Corporation CO. Ltd.","195","Truenet Hisp","4145","socks4","49","1","2023-05-01T04:07:17.707Z","51","781","1539"
"120.46.137.97","elite","AS55990","CN","Huawei Cloud Service data center","161","Huawei Cloud Service","8080","socks5","46","1","2023-05-01T04:07:17.403Z","90","1342","1484"
"185.32.47.105","elite","AS200154","AZ","Izone LLC","83","IZONE Broadband Services","4153","socks4","63","1","2023-05-01T04:07:17.434Z","100","1447","1448"
"36.89.183.77","elite","AS7713","ID","PT. Telekomunikasi Indonesia","164","Telekomunikasi Indonesia","31802","socks4","59","1","2023-05-01T04:07:17.882Z","97","1512","1558"
"178.253.197.186","elite","AS9125","RS","Orion Telekom ISP IP Network","34","Orion Telekom Tim d.o.o.Beograd","4153","socks4","43","1","2023-05-01T04:07:17.768Z","100","1558","1559"
"117.160.250.134","anonymous","AS24445","CN","China Mobile communications corporation","208","China Mobile","8080","http","166","551","2023-05-01T04:07:17.952Z","96","1387","1440"
"179.43.96.178","anonymous","AS263189","PE","GLG PERU SAC","180","GLG PERU SAC","8080","http","68","383","2023-05-01T04:07:17.448Z","100","1436","1442"
"5.9.155.14","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner","30000","socks5","56","1","2023-05-01T04:07:16.513Z","100","1447","1447"
"103.47.253.58","elite","AS133918","MY","Suria Data Centre Sdn. Bhd.","159","Suria Data Centre Sdn. Bhd","50550","socks5","37","1","2023-05-01T04:07:16.656Z","100","1542","1547"
"91.225.166.198","elite","AS56399","UA","Ayol Net, LLC","41","AYOL","4153","socks4","37","1","2023-05-01T04:07:16.844Z","89","1394","1558"
"116.58.224.33","elite","AS131090","TH","CAT-BB","184","N/A","8080","socks5","204","1","2023-05-01T04:07:16.971Z","73","1054","1440"
